Nepali Review,rating,label
"उत्कृष्ट क्लासिक। गद्य सुन्दर थियो। पात्रहरू जटिल र यथार्थपरक थिए। सामाजिक मुद्दाहरूलाई साँच्चै राम्रोसँग सम्हालिएको थियो। यस पुस्तकले जीवनको सुन्दरता र भयावहताहरू देखाउने काम राम्रोसँग गरेको छ। उत्कृष्ट पठन, अत्यधिक सिफारिस गरिएको।",5.0,OR
मेरा घरपालुवा जनावरहरूले यो प्रयोग गर्न चाहेनन् तर यो मेरा घरपालुवा जनावरहरू मात्र हुन सक्छन्।,2.0,OR
"सस्तो चीन। ठूलो कुरा होइन, तर यो अलि महँगो छ",1.0,CG
"मेरो आकार यसको आकारमा सही रहन्छ, तर प्रिन्टमा रातो रङ चित्रमा भन्दा नीरस छ। सामग्री धेरै पातलो छ। यदि यो केहि पटक धुने पछि बन्द भयो भने म अपडेट गर्नेछु।",4.0,OR
"मलाई साँच्चै विश्वास थिएन कि मलाई यो औंठी मलाई जत्तिकै मन पर्छ। यो सरल छ, तर सुन्दर छ र म व्यक्तिगत रूपमा अलि पुरानो लुक देख्छु। एउटै विक्रेताबाट उस्तै औंठी नपाएकोमा म साँच्चै पछुतो गरिरहेको थिएँ तर फरक शैलीको थियो, तर यो औंठी मलाई एकदमै राम्रो लाग्छ। घाममा अझ सुन्दर देखिन्छ!",5.0,OR
"मैले यो चलचित्र मेरी श्रीमतीसँग हेरेको थिएँ र उनलाई यो एकदमै मन पर्यो। उनलाई संगीत र कथा पनि मन पर्छ। मैले केही अन्य चलचित्रहरू पनि हेरेको छु जहाँ कथा अलि बनावटी थियो, तर यो चलचित्र साँच्चै राम्रो छ। चलचित्र साँच्चै राम्रोसँग बनाइएको छ र अभिनय पनि विश्वासयोग्य छ। अभिनय पनि उच्च स्तरको छ। संगीत उत्कृष्ट छ। संगीत धेरै राम्रो छ। म यसलाई सिफारिस गर्दछु",5.0,CG
"मेरो सम्पत्तिमा यी सबै छन् र म तिनीहरूलाई मन पराउँछु। तिनीहरूले तीन फरक राउटरहरूसँग काम गरेका छन् र KUNA बाट ग्राहक सेवा सधैं अविश्वसनीय भएको छ। तपाईंसँग संवेदनशीलता नियन्त्रण गर्न धेरै विकल्पहरू छन् र सुविधाहरू प्रयोग गर्न सजिलो छ। एप धेरै सहज र पत्ता लगाउन सजिलो छ। म मेरो बारेमा सबैलाई भन्छु!

मेरो मनपर्ने भाग तिनीहरू स्थापना गरिएको उचाइ हो। किनभने तिनीहरू बत्तीहरू हुन् - तिनीहरू उच्च स्थापित छन् जसले तपाईंलाई अनुहारहरूको लागि राम्रो कोण दिन्छ। रिंग प्रणाली सामान्यतया कम छ र मलाई कोणहरू मन परेन।",5.0,OR
"यसले मेरो फोनलाई चार्जर पूर्ण रूपमा चार्ज भएपछि मात्र चार्ज गर्न अनुमति दिन्छ।

यसको एक मात्र नकारात्मक पक्ष भनेको जब तपाईं",1.0,CG
मलाई रङ मन पर्छ र यसमा २ वटा ढोका छन् तर ल्याचहरू झन्झटिलो छन्। ढोका बन्द गर्ने प्रयास गर्नु अघि तपाईंले तिनीहरूलाई बाटोबाट हटाइएको छ भनी सुनिश्चित गर्नुपर्छ र प्रत्येक ढोकामा २ वटा ल्याचहरू भएकाले यो दोब्बर समय लाग्छ। ल्याचहरू वरिपरि पेन्ट पहिले नै चिपिरहेको छ।,3.0,OR
"अहिलेसम्म पढेको छैन, तर म शृङ्खलाको अर्को भाग पढ्नेछु। म सुरु गर्दैछु",5.0,CG
गुलाबी रंग राम्रोसँग फिट भएन। बुटको चौडा घुँडाको भाग अलि खुकुलो थियो र तल्लो भाग धेरै खुकुलो थियो। बुट पनि अलि खुकुलो देखिन्थ्यो।,4.0,CG
"उनको गद्य उत्कृष्ट छ, र पात्रहरू विश्वासयोग्य र विश्वासयोग्य छन्।

कथालाई को दृष्टिकोणबाट भनिएको छ",5.0,CG
कुर्कुच्चाबाट एउटा किला निस्किएको थियो जसमा हिँड्न धेरै असहज थियो। मैले तिनीहरूलाई फिर्ता पठाउनुपर्थ्यो।,2.0,OR
हाम्री नातिनीलाई यो किताब एकदमै मन पर्यो र उनी फेरि पढ्नेछिन्। उनलाई फोटो र कथा पनि मन पर्छ।,5.0,CG
वयस्क औंलाहरूका लागि पनि कटरबाट प्लेडोफ निकाल्न धेरै गाह्रो छ। मेरो प्रिस्कूलरले निराश बिना एक्लै खेल्न सक्ने उत्पादन होइन।,3.0,OR
"मेरो १३ वर्षको कुकुरको लागि राम्रो छ र उसलाई यो मन पर्छ।

मैले यसलाई ४ दिएँ भन्ने एक मात्र कारण",5.0,CG

यो उत्पादन धेरै राम्रो छ। म धेरै खुसी छु।,5,CG
"गुणस्तर राम्रो छ, तर डेलिभरी ढिलो भयो।",4,CG
"उत्पादन ठिकै छ, तर मूल्य अलि महँगो लाग्यो।",3,CG
"मलाई यो उत्पादन मन परेन, गुणस्तर राम्रो थिएन।",2,CG
एकदमै नराम्रो! पैसाको बर्बादी।,1,CG
"उत्कृष्ट उत्पादन, म फेरि किन्नेछु।",5,CG
डिजाइन राम्रो छ तर सामग्री औसत छ।,3,CG
उत्पादनले मेरो अपेक्षा पुरा गर्यो।,4,CG
"मलाई एकदम मन पर्‍यो, सबैलाई सिफारिस गर्छु।",5,CG
"सन्तुष्ट छैन, धेरै कमसल छ।",1,CG
"गुणस्तर राम्रो छ, सस्तो पनि।",5,CG
"डेलिभरी समयमै भयो, धन्यवाद!",4,CG
"प्रयोग गर्न सजिलो छ, राम्रो उत्पादन।",4,CG
यो उत्पादन अलि मजबुत हुनुपर्थ्यो।,3,CG
"धेरै नाजुक छ, सहजै बिग्रन्छ।",2,CG
सस्तो छ तर गुणस्तर अनुसार ठीकै छ।,3,CG
राम्रो प्याकेजिङ तर उत्पादन ठीकै छ।,3,CG
"मेरो लागि उपयुक्त छैन, पैसा खेर गयो।",1,CG
"डिजाइन उत्कृष्ट, म फेरि अर्डर गर्छु।",5,CG
"सन्तुष्ट छु, सेवा राम्रो छ।",4,CG
"उत्पादन राम्रो छ, तर धेरै महँगो।",3,CG
मैले आशा गरेको भन्दा राम्रो आयो।,5,CG
"यसले राम्रोसँग काम गर्छ, सिफारिस गरिन्छ।",4,CG
"गुणस्तर मध्यम छ, टिकाउ छैन।",2,CG
"एकदमै हलुका छ, मजबुत छैन।",2,CG
"धेरै राम्रो, सबैलाई मन पर्नेछ।",5,CG
"सन्तुष्ट छु, अझ राम्रो हुन सक्छ।",4,CG
"पैसाको मूल्य छैन, खराब उत्पादन।",1,CG
"डिजाइन मन पर्यो, तर कार्यक्षमता कमजोर छ।",3,CG
सस्तो र टिकाउ उत्पादन।,5,CG
"धेरै ढिलो डेलिभरी, तर उत्पादन ठिकै।",3,CG
यसले मेरो अपेक्षा पुरा गरेन।,2,CG
गुणस्तर अनुसार मूल्य ठीकै छ।,4,CG
"प्याकेजिङ राम्रो थियो, उत्पादन पनि उत्तम!",5,CG
प्रयोग गर्न सजिलो छैन।,2,CG
"उत्पादन राम्रो, तर ग्राहक सेवा कमजोर।",3,CG
यो उत्पादन सबैलाई मन पर्छ।,5,CG
मैले अर्कै कुराको आशा गरेको थिएँ।,2,CG
"एकदमै नराम्रो, कहिल्यै किन्नु हुँदैन।",1,CG
"सिफारिस गर्छु, धेरै राम्रो!",5,CG
सम्पूर्ण रूपमा ठिकै छ।,3,CG
उत्पादन सस्तो र गुणस्तर राम्रो छ।,5,CG
गुणस्तर सुधार गर्नुपर्छ।,2,CG
"राम्रो छ, अझ सुधार गर्न सकिन्छ।",4,CG
"धेरै नै खराब, पैसा फाल्ने काम।",1,CG
"डिजाइन सुन्दर छ, उपयोगी पनि।",5,CG
यसलाई किनेर म सन्तुष्ट छु।,4,CG
"अत्यन्तै नाजुक छ, टिक्दैन।",2,CG
"राम्रो गुणस्तर, तर रंग मन परेन।",3,CG
यो बजारमा उपलब्ध उत्कृष्ट उत्पादन हो।,5,CG
"यो उत्पादन अत्यन्त उपयोगी रहेको छ, विशेष गरी यसको डिजाइन र गुणस्तर हेर्दा मलाई धेरै मन पर्‍यो।",5,CG
"मैले यस उत्पादनलाई केही समयदेखि प्रयोग गरिरहेको छु, र यो मेरो दैनिक आवश्यकताहरू पूरा गर्न सक्षम देखिएको छ।",4,CG
"यस उत्पादनको गुणस्तर ठीकै छ, तर मूल्यअनुसार अझ केही सुधार गरिनुपर्छ भन्ने मेरो व्यक्तिगत धारणा हो।",3,CG
"उत्पादन अपेक्षाअनुसार राम्रो निस्किएको छैन, किनभने यसको सामाग्री धेरै कमजोर देखिन्छ।",2,CG
"मैले ठानेको भन्दा पनि गुणस्तर निकै नै कमजोर भएको महसुस गरें, किनभने केही दिनमै बिग्रियो।",1,CG
"यस उत्पादनको डिजाइन अत्यन्तै आकर्षक छ, साथै यसको प्रयोग गर्दा सहजता महसुस हुन्छ जुन धेरै सकारात्मक पक्ष हो।",5,CG
"मैले यसलाई खरिद गरेपछि उपयोग गर्दा धेरै सजिलो लागेको छ, साथै यसको गुणस्तर पनि अपेक्षाअनुसार नै राम्रो छ।",4,CG
"यो उत्पादन मेरो लागि उपयोगी रहेको छ, तर यसको मूल्यअनुसार गुणस्तर अलिकति राम्रो हुनसक्थ्यो भन्ने लाग्छ।",3,CG
"यस उत्पादनले मेरो अपेक्षाअनुसार राम्रो प्रदर्शन गर्न सकेन, त्यसैले म यसलाई सिफारिस गर्न सक्दिन।",2,CG
"मैले धेरै आशा राखेर किनेको थिएँ, तर उत्पादनले मलाई पूर्ण रूपमा निराश बनाएको छ।",1,CG
"यस उत्पादनको सबै पक्ष राम्रो छ, विशेष गरी यसको टिकाउपन र प्रयोगमा आउने सहजता वास्तवमै प्रभावशाली छ।",5,CG
"म यस उत्पादनलाई केही सातादेखि प्रयोग गरिरहेको छु, र हालसम्म कुनै समस्या आएको छैन, जुन सकारात्मक पक्ष हो।",4,CG
"उत्पादन सामान्य छ, न धेरै राम्रो न त धेरै खराब, तर यसको मूल्यअनुसार अलि सस्तो हुनसक्थ्यो।",3,CG
"यो उत्पादन टिकाउ भएन, केही हप्तामै खराब भयो, त्यसैले म यसलाई पुनः किन्ने छैन।",2,CG
"गुणस्तरको हिसाबले हेर्दा यो उत्पादन राम्रो छैन, किनभने सामग्री कमजोर छ र छिट्टै बिग्रन्छ।",1,CG
"मैले यो उत्पादन खरिद गर्दा धेरै उत्साहित थिएँ, तर यसको प्रयोग गरेपछि सामान्य महसुस गरें।",3,CG
"यस उत्पादनको प्याकेजिङ एकदमै राम्रो छ, साथै डेलिभरी पनि छिटो भएकोले म धेरै सन्तुष्ट छु।",5,CG
"डिजाइन राम्रो भए पनि यसले काम गर्न समय लगाउँछ, जसले गर्दा प्रयोगकर्ताहरूलाई केही असहज हुनसक्छ।",4,CG
"यो उत्पादन म फेरि किन्ने छैन किनभने यसको गुणस्तर सन्तोषजनक छैन र धेरै टिकाउ पनि छैन।",2,CG
"मैले कहिल्यै यस्तो नराम्रो उत्पादन देखेको थिइनँ, किनभने यसमा कुनै पनि राम्रो पक्ष देखिएन।",1,CG

"कुनै पनि पुस्तकको लागि मेरो सबैभन्दा ठूलो प्रशंसा त्यो हो जब म यसलाई तल राख्न चाहन्न - र यो पुस्तकको बारेमा मलाई त्यस्तै लाग्यो! यो सुरुदेखि अन्त्यसम्म रोचक थियो। पात्रहरू प्रायः यथार्थपरक परिस्थितिहरूमा विश्वासयोग्य थिए। अन्त्य केही अनसुलझे मुद्दाहरूसँग अलि बाध्य देखिन्थ्यो - पुलमा पीछा र कार्य बाध्य देखिन्थ्यो र सम्पूर्ण गिल परिस्थितिलाई समाधान आवश्यक थियो। साथै रान्डल र छोराहरू बीचको सम्बन्धलाई अझ राम्रोसँग विकास गर्न सकिन्थ्यो।

यो एक राम्रो कथा थियो र मेरो रुचि कायम राख्यो।",4.0,OR
"मलाई यो घण्टी मन पर्छ, यो गर्मीको लागि एकदमै उपयुक्त छ र लामो समयसम्म फ्रिजमा राखिन्छ।",5.0,CG
राम्रो सस्तो टेप - चीनबाट आयात गरिएको थियो - म टेप मापनलाई उपभोग्य मान्छु त्यसैले कुनै पनि समस्याले यसलाई केही समयदेखि प्रयोग गरेको छैन र यसले अपेक्षित रूपमा यसको उमेर देखाउँछ - सिफारिस गर्नेछु।,5.0,OR
"मसँग सबै Honor शृङ्खलाहरू छन् र यो मलाई सबैभन्दा कम मन पर्ने पुस्तक हो। लेखकसँग नयाँ विचारहरू सकिएको जस्तो देखिन्छ। वास्तवमा, पुस्तकका केही भागहरू थिए जहाँ म पक्का थिएँ कि मैले अघिल्ला पुस्तकहरूमा पढेको थिएँ। कथाको सुरुवात राम्रो थियो तर पुस्तक खुकुलो हुँदै जाँदा केही हदसम्म फिक्का भयो।",3.0,OR
"यी टेकटन रेन्च होल्डरहरू अद्भुत छन्। तिनीहरू राम्रो ठोस तर लचिलो प्लास्टिकबाट बनेका छन् र धेरैजसो रेन्च र स्प्यानरहरू समात्नेछन्। मैले तिनीहरूलाई मेट्रिक र SAE ओपन एन्ड, ओपन एन्ड रिङ (संयोजन) र रिङ स्प्यानरहरू समात्न प्रयोग गरें र तिनीहरूले मेरो उपकरण बक्सलाई धेरै ठाउँ छोडेर उपकरणहरूलाई एकै नजरमा पहिचान गर्न मिल्ने बनाएको पाएँ। तपाईं तिनीहरूलाई फिट गर्न काट्न सक्नुहुन्छ र मैले एउटा सानो ब्यान्ड आराले राम्रो काम गरेको पाएँ तर धारिलो ब्लेडले पनि काम गर्नेछ। म यी कुराहरू अत्यधिक सिफारिस गर्छु।",5.0,OR
"यो एकदमै रमाइलो खेलौना हो। टुक्राहरू बलियो छन् र टुक्राहरू कन्टेनरमा राम्रोसँग फिट हुन्छन्।

टुक्राहरूलाई कन्टेनरमा राख्नको लागि मलाई केही अतिरिक्त टुक्राहरू लिनु पर्यो।",5.0,CG
वाह! यो धेरै राम्रोसँग लेखिएको छ र हाहा! यो धेरै छोटो छ। ३० मिनेट भन्दा कम समयको पढाइ। यो किताबको दृश्य जस्तै छ। मलाई आशा छ कि उनीहरूले एकअर्कालाई कम्तिमा पनि चिन्छन्। उसले जे गर्छ त्यो बलात्कार जस्तै हो। तर उसले के हुनेछ भनेर बताएपछि ढोका खोल्ने उनी नै हुन्। मलाई अझै धेरै चाहियो!,4.0,OR
"यो पुस्तकलाई तल राख्न सकिन। पात्रहरू एकदमै सही थिए। लेखकले पुस्तकमा कथावस्तु कसरी प्रस्तुत गर्नुभएको छ भन्ने कुरा मलाई मन पर्छ। पात्रहरू राम्ररी लेखिएका छन् र कथा धेरै मार्मिक छ। म यो पुस्तकलाई अत्यधिक सिफारिस गर्छु।

मैले इमानदार समीक्षाको लागि यो पुस्तकको एक प्रति प्राप्त गरें। म छिटो र सजिलै पढ्न मिल्ने पुस्तक खोजिरहेको थिएँ। मलाई यो मन पर्यो। यसमा उत्कृष्ट पात्रहरू र कथानक छन्। मैले यसलाई एकल रूपमा पढें। म पक्कै पनि उनका थप पुस्तकहरू किन्नेछु। मलाई यो पुस्तक साँच्चै मन पर्यो। यसमा धेरै कार्य र कार्यहरू छन्, उत्कृष्ट पात्रहरू र एक",5.0,CG
"यसले हाम्रो ३ महिनाको GSD कुकुरलाई सुरक्षित ठाउँमा राख्छ, तर उसले आफ्नो दाँतले तारहरू मोड्न सक्षम भयो।",3.0,OR
मेरी श्रीमती ८ इन्च चाहन्थिन् र यो हाम्रो भान्साको लागि एकदमै उपयुक्त साइज थियो। उनी कपकेक मेकर लिन उत्साहित थिइन् तर त्यसपछि सोचिन् कि यो धेरै ठूलो हुनेछ। उनी नियमित कपकेक मेकर चाहन्थिन् र यो एकदमै मिल्छ। उनी यससँग धेरै खुसी छिन्। मलाई यो मन पर्छ। मलाई यसको रंग र आकार मन पर्छ। यो मेरो भन्दा अलि भारी छ।,5.0,CG
यी ठ्याक्कै मैले चाहेको कुरा थिए। गुणस्तर एकदमै सही छ। म ४० वर्षको हुँ। मैले यो मेरो लागि किनेको हुँ,5.0,CG
"वाह, यी चिल्लो र सेक्सी पूर्ण रूपमा वजनदार छन् र मैले पहिले कहिल्यै सेटमा नपाएको आकारहरू छन्। मैले पहिले कहिल्यै नाप्ने चम्चाको सेटको लागि यति धेरै पैसा तिरेको छैन तर म खुसी छु कि मैले यी पूर्णताका साथ गरें। कार्यक्षमता र सुन्दरता एकअर्कासँग मिल्छन्।",5.0,OR
"मैले यसलाई आज मात्र सेट अप गरेको छु, त्यसैले मसँग यसको लागि दीर्घकालीन समीक्षा छैन तर अहिलेसम्म मलाई यसको बारेमा के मनपर्छ भन्ने कुरा यहाँ छ। यो धेरै आकर्षक छ (घरपालुवा जनावरको फाउन्टेनको लागि अचम्मलाग्दो), किनभने यो प्लास्टिकको सट्टा सिरेमिक हो। मैले पहिले राखेको प्लास्टिकको भन्दा धेरै राम्रो देखिन्छ। यो घरपालुवा जनावरको फाउन्टेनको सट्टा सजावटको टुक्रा जस्तो देखिन्छ, जसले गर्दा मलाई पागल बिरालो जस्तो महसुस हुँदैन। र एमिली, मेरो बिरालोले पहिले नै यसलाई अनुमोदन गरिसकेकी छिन्। म मेरो औंलाहरू पार गरिरहेकी छु र आशा गर्छु कि यो लामो समयसम्म टिक्नेछ।",5.0,OR
भर्खर पुग्न र यसलाई बन्द गर्न ट्याप गर्न धेरै राम्रो छ।  तिनीहरू पनि राम्रो देखिन्छन्।  तिनीहरू साना छन् त्यसैले तिनीहरू रातको स्ट्यान्डमा धेरै कोठा लिन सक्दैनन्।,5.0,OR
"मैले यो ३ वर्षदेखि प्रयोग गर्दै आएको छु र अझै पनि गर्दै आएको छु। यदि तपाईं अन्य समीक्षाहरू पछ्याउँदै हुनुहुन्छ भने, भिडियो गुणस्तर खराब छ र ध्वनि राम्रो छैन। यो प्रयोग गर्न अलि गाह्रो छ।",4.0,CG
"समकालीन रोमान्टिक कमेडीहरू धेरै कमजोर भएकाले मैले यो फिल्मबाट धेरै आशा गरेको थिइनँ। तर अर्को दिन यो फिल्म केबल च्यानलमा प्रसारण भइरहेको थियो, र मैले यसलाई मौका दिने निर्णय गरें। म धेरै खुसी छु कि मैले त्यसो गरें। यो फिल्म रमाइलो, मनमोहक, प्यारो र अत्यधिक मनोरञ्जनात्मक छ, र म DVD किन्नेछु। यो पक्कै पनि एक राम्रो फिल्म हो जुन हेरेर तपाईंलाई पछुताउनु पर्दैन।

यो वास्तवमै मैले यस सहस्राब्दीमा देखेको सबैभन्दा राम्रो रोमान्टिक कमेडीहरू मध्ये एक हो।",5.0,OR
"मैले पाँचवटै पुस्तकहरू धेरै छिटो प्राप्त गरें तर मेरो समस्या किताबहरू आफैंमा छ, विक्रेताहरूसँग होइन। पाँचवटै पुस्तकहरूमा मैले अहिलेसम्म देखेको सबैभन्दा सानो प्रिन्ट छ। पढ्ने चश्मा लगाएर पनि पढ्न धेरै गाह्रो छ। यसले मद्दत गर्छ कि गर्दैन भनेर हेर्नको लागि म्याग्निफायर अर्डर गरें। म कल्पना गर्न सक्दिन कि तिनीहरूले कुनै पनि पुस्तकमा किन यति सानो प्रिन्ट प्रयोग गर्छन्।",3.0,OR
"बलियो, मेरा सबै क्यामिहरू समात्छ र पहुँच गर्न सजिलो बनाउँछ।",5.0,OR
"धेरै आरामदायी, मूल्यको लागि राम्रो। समस्या यो हो कि यो मेरो लागि अलि ठूलो छ। यदि तपाईं राम्रो, ठोस र हल्का चाहनुहुन्छ भने",5.0,CG
यी ब्रेकरहरूले ..P1224L1225CU 125 amp प्यानलसँग काम गरे जुन मैले अमेजनबाट पनि खरीद गरेको थिए।,5.0,OR
राम्रो मूल्य र जे छ त्यसको लागि राम्रो। मसँग मेरो केही वर्षदेखि छ र यो,5.0,CG
"एकदमै रमाइलो, राम्रोसँग लेखिएको, कथानकमा केही अप्रत्याशित मोड़ सहित जसले उपन्यासको चरित्रमा थप्यो। बोनस अझ तातो थियो। राम्रो लेखन, केही त्रुटिहरू, पढ्न सजिलो।",4.0,OR
"मलाई यो शर्ट एकदमै मन पर्छ! यो एकदमै राम्रोसँग फिट हुन्छ...साइज अनुसार, र धेरै आकर्षक देखिन्छ। यो लगाउँदा मलाई सधैं प्रशंसा मिल्छ।",5.0,OR
